web-scraper-order,web-scraper-start-url,company,company-href,model,model-href
"1555570203-1175","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","iPad Pro 9.7 (2016)","https://www.gsmarena.com/apple_ipad_pro_9_7_(2016)-7984.php"
"1555570151-706","https://www.gsmarena.com/","vivo","https://www.gsmarena.com/vivo-phones-98.php","Z1","https://www.gsmarena.com/vivo_z1-9212.php"
"1555570114-160","https://www.gsmarena.com/","Tecno","https://www.gsmarena.com/tecno-phones-120.php","Camon iACE2","https://www.gsmarena.com/tecno_camon_iace2-9578.php"
"1555570118-235","https://www.gsmarena.com/","Acer","https://www.gsmarena.com/acer-phones-59.php","Liquid M220","https://www.gsmarena.com/acer_liquid_m220-7071.php"
"1555570140-551","https://www.gsmarena.com/","Alcatel","https://www.gsmarena.com/alcatel-phones-5.php","Flash Plus 2","https://www.gsmarena.com/alcatel_flash_plus_2-8105.php"
"1555570197-1104","https://www.gsmarena.com/","Nokia","https://www.gsmarena.com/nokia-phones-1.php","105 (2015)","https://www.gsmarena.com/nokia_105_(2015)-7271.php"
"1555570121-252","https://www.gsmarena.com/","BLU","https://www.gsmarena.com/blu-phones-67.php","Vivo One Plus (2019)","https://www.gsmarena.com/blu_vivo_one_plus_(2019)-9518.php"
"1555570193-1049","https://www.gsmarena.com/","Sony","https://www.gsmarena.com/sony-phones-7.php","Xperia XZ1","https://www.gsmarena.com/sony_xperia_xz1-8804.php"
"1555570101-26","https://www.gsmarena.com/","Plum","https://www.gsmarena.com/plum-phones-72.php","Optimax 7.0","https://www.gsmarena.com/plum_optimax_7_0-8087.php"
"1555570193-1064","https://www.gsmarena.com/","Sony","https://www.gsmarena.com/sony-phones-7.php","Xperia XA","https://www.gsmarena.com/sony_xperia_xa-7950.php"
"1555570147-646","https://www.gsmarena.com/","Meizu","https://www.gsmarena.com/meizu-phones-74.php","16","https://www.gsmarena.com/meizu_16-9280.php"
"1555570134-465","https://www.gsmarena.com/","Microsoft","https://www.gsmarena.com/microsoft-phones-64.php","Lumia 435","https://www.gsmarena.com/microsoft_lumia_435-6942.php"
"1555570111-136","https://www.gsmarena.com/","Wiko","https://www.gsmarena.com/wiko-phones-96.php","Kenny","https://www.gsmarena.com/wiko_kenny-9020.php"
"1555570114-178","https://www.gsmarena.com/","Tecno","https://www.gsmarena.com/tecno-phones-120.php","Camon X","https://www.gsmarena.com/tecno_camon_x-9447.php"
"1555570203-1164","https://www.gsmarena.com/","Apple","https://www.gsmarena.com/apple-phones-48.php","iPad 9.7 (2017)","https://www.gsmarena.com/apple_ipad_9_7_(2017)-8620.php"
"1555570162-804","https://www.gsmarena.com/","Google","https://www.gsmarena.com/google-phones-107.php","Pixel","https://www.gsmarena.com/google_pixel-8346.php"
"1555570127-374","https://www.gsmarena.com/","Cat","https://www.gsmarena.com/cat-phones-89.php","S30","https://www.gsmarena.com/cat_s30-7730.php"
"1555570172-954","https://www.gsmarena.com/","HTC","https://www.gsmarena.com/htc-phones-45.php","One A9s","https://www.gsmarena.com/htc_one_a9s-8297.php"
"1555570205-1230","https://www.gsmarena.com/","Samsung","https://www.gsmarena.com/samsung-phones-9.php","Galaxy A6+ (2018)","https://www.gsmarena.com/samsung_galaxy_a6+_(2018)-9156.php"
"1555570125-360","https://www.gsmarena.com/","Lava","https://www.gsmarena.com/lava-phones-94.php","A68","https://www.gsmarena.com/lava_a68-8210.php"
"1555570151-677","https://www.gsmarena.com/","vivo","https://www.gsmarena.com/vivo-phones-98.php","X27 Pro","https://www.gsmarena.com/vivo_x27_pro-9660.php"
"1555570111-137","https://www.gsmarena.com/","Wiko","https://www.gsmarena.com/wiko-phones-96.php","Lenny3 Max","https://www.gsmarena.com/wiko_lenny3_max-9021.php"
"1555570158-750","https://www.gsmarena.com/","Oppo","https://www.gsmarena.com/oppo-phones-82.php","Find X Lamborghini","https://www.gsmarena.com/oppo_find_x_lamborghini-9248.php"
"1555570170-931","https://www.gsmarena.com/","Motorola","https://www.gsmarena.com/motorola-phones-4.php","Moto X Play Dual SIM","https://www.gsmarena.com/motorola_moto_x_play_dual_sim-7470.php"
